vendor_code,I,Iu,MaxValuePerOrder,AvgValuePerOrder,TotMonthBusiness,Egeo
1,778,60,565.4390976504,132.59640535380936,25,0.3426659594154442
2,3950,196,1761.99,149.26949672824853,20,0.34279148070215504
3,3051,203,860.1542359183003,155.09854871496293,3,0.40835072741399137
4,407,101,774.0778404364,142.14018389055994,2,0.28435612137292066
5,13042,276,1188.115657927,165.86694163535356,17,0.4150285221188788
7,17611,246,1420.2485106383,212.2610034575708,16,0.3428339853619355
8,4684,114,962.6403850562,155.82362828970355,25,0.37373203470377875
9,1072,82,746.5755253530998,214.38819244754953,16,0.3991023491152753
10,18488,293,1203.7856849627,204.8711740656879,18,0.3428369045995926
11,97,20,781.1621831533,284.8373424242526,4,0.36923394201058457
12,133,24,2047.5646939254,433.7267789241331,2,0.3412896208357122
13,5417,209,999.95,126.13848137779351,25,0.34283058908830727
14,3766,92,879.99,145.09845061072667,25,0.34281112485282594
15,4845,79,1089.5177533327,156.23207095622908,9,0.3738135697072455
16,19211,295,2129.2186957723,177.21142881654143,23,0.37387152489132824
18,1783,187,2116.8694465843,321.80274015604033,14,0.3994355746161138
20,3238,109,532.6104289587,121.00244891340428,25,0.3428172291727955
21,1010,92,2370.8426254529,400.54957253663224,25,0.34258128881842326
22,2998,238,1864.99,343.7256583754161,18,0.3427928289093365
25,3985,190,1172.9148215359,196.18829621420144,5,0.3043372093307945
26,982,99,479.99,128.14410047522014,24,0.342401413303142
27,594,16,466.99,140.57080808080806,24,0.3424164400970655
28,3230,197,1588.98,98.24203430880942,24,0.3427738554122806
29,463,48,640.0058918839,146.81907715447647,21,0.34231330276149585
30,56670,393,6245.039361935898,152.7064325438299,25,0.3738854463542729
31,3561,48,241.0752399654,90.43774070434988,10,0.33222462122742413
33,7088,302,2208.9552238806,187.25967044045456,25,0.34279745200826833
34,150,47,632.9019607843003,176.43393897622866,3,0.34099539194759254
35,659,52,294.4184545894,117.29739123437754,12,0.34228254070528835
36,308,72,854.6955534742999,200.78617161493509,7,0.3041441976079963
37,1204,51,498.9813953819,111.53252156650265,25,0.37361326077124113
38,1068,50,587.5472226109,152.52597956231452,6,0.37347159700889376
39,13290,544,3195.8757740411,356.62870442811356,13,0.3322356291136375
40,5984,189,1787.6259107377,137.33079857266358,23,0.3322209138830125
41,482,41,624.4805675749,227.83747742663135,3,0.3837681674900738
42,2561,110,860.5961454052,137.56026853586863,3,0.33218965407566275
43,250531,774,6044.2345436703,207.34767944103822,25,0.399632387698792
44,7,4,209.99,114.99000000000001,1,0.29688992456932706
45,79525,779,2125.5639886678,200.9933434976152,25,0.37388747076429146
46,16569,370,1686.3934688651002,158.72457403837393,25,0.34282718623554276
47,121439,1251,2199.99,160.35777965990076,25,0.34283968934859815
48,1122,176,1037.9310344828,129.7892085451377,15,0.34277863120954716
49,4809,686,1963.99,244.99745090400864,4,0.34281926377316585
50,57074,1084,2103.0827342512,158.986644126223,25,0.3322485027590689
51,20030,500,2156.2441133916,208.5321128050721,14,0.3322473015802123
52,50512,905,5067.49,174.19338913036364,23,0.342835477942023
53,11761,218,1612.2204161018,239.7875961938412,15,0.3738512725377515
55,8913,370,603.14,109.08034818100457,25,0.34280299641785833
56,3740,275,7036.4683301343,232.61372973748993,25,0.37380969386578355
57,18081,260,1188.0079691545,168.0152794626716,25,0.34283193529453104
58,7428,309,1322.3588405,164.66363224975765,25,0.34282607396824444
59,11582,271,2236.3853202343,256.4158609833206,13,0.3322293283629235
60,1883,40,367.9981710712,127.0059895164178,25,0.34264254116867876
61,106,10,327.9898946898,100.66308662492546,9,0.36850924036927896
62,27824,210,1135.1982215635,137.97274891625415,25,0.37388114697366653
63,42645,498,1839.9536815205,202.76339942546184,23,0.3322478027420671
64,4474,166,2266.3895711317,159.22193974675736,25,0.3428051652758105
65,13420,224,1341.99,158.06759958435143,25,0.34282156791810653
66,53,14,318.8398325152,123.81139783160754,9,0.3367437701899747
67,1964,117,1153.3859200474,183.98817084244155,25,0.3426207008724173
69,1880,60,1269.4578398337,159.00951383907156,25,0.3427080966597056
70,10356,176,2139.1815766165,282.1651594123337,22,0.37384671163001604
71,3392,235,1952.4985749572,229.09841929629513,24,0.3427488147578923
72,68,6,458.7551516432,285.9779186701618,2,0.36780663626019133
73,2761,97,922.3561938407,174.00126180296616,20,0.3427503029579888
74,13628,231,1230.6098238554,174.97513090691973,25,0.3322348510522289
75,1154,218,1198.0487804878,238.41865620447598,3,0.3427213224390451
76,3570,283,2134.2958792442,225.06546453543825,4,0.37382666125809044
77,76,15,253.4278231397,116.11910572823028,17,0.3406157035136619
78,4092,128,824.99,110.6357416721056,25,0.3427710649629492
79,7685,270,2024.5283726512,153.7064657613818,25,0.3427989920546584
80,30864,373,1148.4316135939998,143.23630981072301,25,0.3322476241890705
81,34,6,323.959410139,150.41031517560293,4,0.3681072626353296
